Season,TeamID,Score_avg,OppScore_avg,FGM_avg,OppFGM_avg,FGA_avg,OppFGA_avg,FGM3_avg,OppFGM3_avg,FGA3_avg,OppFGA3_avg,FTM_avg,OppFTM_avg,FTA_avg,OppFTA_avg,OR_avg,OppOR_avg,DR_avg,OppDR_avg,Ast_avg,OppAst_avg,TO_avg,OppTO_avg,Stl_avg,OppStl_avg,Blk_avg,OppBlk_avg,PF_avg,OppPF_avg,WinCount,LossCount,WinPct
2014,1101,63.142857142857146,78.61904761904762,20.333333333333332,27.142857142857142,50.142857142857146,53.42857142857143,6.666666666666667,6.0,17.857142857142858,16.19047619047619,15.80952380952381,18.333333333333332,21.19047619047619,25.80952380952381,8.0,10.380952380952381,20.333333333333332,24.095238095238095,10.0,15.571428571428571,15.0,12.142857142857142,5.761904761904762,7.0,1.4761904761904763,5.0,21.571428571428573,18.666666666666668,2,19,0.09523809523809523
2015,1101,61.0,71.85714285714286,21.428571428571427,25.035714285714285,52.92857142857143,50.857142857142854,7.25,6.178571428571429,19.178571428571427,16.714285714285715,10.892857142857142,15.607142857142858,14.964285714285714,22.714285714285715,8.25,10.035714285714286,19.642857142857142,25.892857142857142,11.857142857142858,12.928571428571429,12.821428571428571,13.464285714285714,5.928571428571429,5.857142857142857,1.1785714285714286,4.25,20.607142857142858,16.535714285714285,7,21,0.25
2016,1101,69.85185185185185,76.25925925925925,23.814814814814813,26.48148148148148,53.925925925925924,53.666666666666664,6.851851851851852,5.592592592592593,18.85185185185185,15.148148148148149,15.37037037037037,17.703703703703702,21.74074074074074,24.962962962962962,8.185185185185185,8.592592592592593,22.51851851851852,25.22222222222222,12.88888888888889,12.851851851851851,13.407407407407407,13.444444444444445,6.7407407407407405,5.111111111111111,2.4444444444444446,3.2962962962962963,22.37037037037037,19.666666666666668,9,18,0.3333333333333333
2017,1101,67.88,72.64,24.44,24.84,53.32,53.68,7.08,7.08,19.08,19.6,11.92,15.88,18.56,23.8,7.56,10.64,22.88,25.04,13.6,13.6,14.48,14.8,7.0,6.04,2.76,3.16,22.16,17.24,9,16,0.36
2018,1101,70.66666666666667,72.81481481481481,25.51851851851852,24.77777777777778,56.48148148148148,54.2962962962963,6.481481481481482,6.62962962962963,19.962962962962962,19.74074074074074,13.148148148148149,16.62962962962963,18.666666666666668,23.444444444444443,9.037037037037036,9.925925925925926,23.22222222222222,25.037037037037038,13.88888888888889,12.037037037037036,14.407407407407407,15.481481481481481,7.148148148148148,6.518518518518518,3.6296296296296298,2.925925925925926,21.037037037037038,17.666666666666668,12,15,0.4444444444444444
2019,1101,71.72413793103448,64.89655172413794,25.344827586206897,22.482758620689655,55.241379310344826,51.13793103448276,7.241379310344827,5.724137931034483,18.896551724137932,17.103448275862068,13.793103448275861,14.206896551724139,19.06896551724138,19.655172413793103,9.068965517241379,8.827586206896552,22.896551724137932,23.75862068965517,14.620689655172415,11.10344827586207,11.655172413793103,15.724137931034482,8.0,5.551724137931035,2.5517241379310347,2.9655172413793105,19.137931034482758,18.06896551724138,23,6,0.7931034482758621
2020,1101,72.77777777777777,68.77777777777777,24.59259259259259,22.814814814814813,56.074074074074076,50.333333333333336,6.481481481481482,5.074074074074074,20.59259259259259,16.40740740740741,17.11111111111111,18.074074074074073,23.037037037037038,24.62962962962963,10.037037037037036,9.11111111111111,21.814814814814813,24.814814814814813,13.592592592592593,10.37037037037037,14.74074074074074,18.703703703703702,9.0,7.185185185185185,2.6666666666666665,4.0,22.0,20.14814814814815,16,11,0.5925925925925926
2021,1101,76.30434782608695,61.73913043478261,27.17391304347826,20.782608695652176,59.04347826086956,51.34782608695652,8.130434782608695,5.086956521739131,21.565217391304348,17.47826086956522,13.826086956521738,15.08695652173913,20.08695652173913,21.82608695652174,9.608695652173912,7.782608695652174,22.82608695652174,22.652173913043477,18.17391304347826,10.043478260869565,13.434782608695652,18.304347826086957,9.347826086956522,7.086956521739131,3.0,3.782608695652174,5.739130434782608,5.086956521739131,19,4,0.8260869565217391
2022,1101,73.17241379310344,68.41379310344827,24.82758620689655,22.06896551724138,58.89655172413793,49.6551724137931,6.689655172413793,6.758620689655173,21.310344827586206,19.689655172413794,16.82758620689655,17.517241379310345,22.655172413793103,24.24137931034483,8.758620689655173,8.413793103448276,20.06896551724138,25.310344827586206,14.068965517241379,11.344827586206897,12.0,19.586206896551722,10.448275862068966,5.172413793103448,1.7241379310344827,3.9310344827586206,22.379310344827587,21.275862068965516,19,10,0.6551724137931034
2023,1101,71.1923076923077,74.88461538461539,25.384615384615383,25.807692307692307,58.34615384615385,51.42307692307692,6.6923076923076925,6.576923076923077,19.5,17.26923076923077,13.73076923076923,16.692307692307693,18.846153846153847,23.46153846153846,7.615384615384615,7.346153846153846,19.615384615384617,25.153846153846153,14.76923076923077,13.538461538461538,11.846153846153847,15.76923076923077,7.961538461538462,5.384615384615385,1.9615384615384615,3.1923076923076925,20.884615384615383,19.153846153846153,9,17,0.34615384615384615
